Platform,Manufacturer,Drug (Brand),Drug (Generic),Condition(s),FDA Indication,Insurance Eligible?,Medicare/Medicaid Eligible?,Income Requirement?,Monthly Cash Price,Price Notes,Eligibility Notes,Platform URL,Last Verified,Data Status
LillyDirect,Eli Lilly,Zepbound — Program A (commercially insured WITH coverage · Single-Dose Pen),tirzepatide,Obesity,"Obesity or overweight with weight-related medical condition; moderate-to-severe OSA in adults with obesity",Yes — commercial insurance WITH Zepbound coverage,No — government beneficiaries excluded from savings card,No,As low as $25/mo,"$25/mo (1-mo fill). Max savings: $100/1-mo · $200/2-mo · $300/3-mo. Max $1,300/year. Up to 13 fills/year. Card expires 12/31/2026.","Commercial insurance WITH Zepbound pen coverage required. Age 18+. US resident or Puerto Rico. Not in AFP. Cannot combine with other discounts. Not valid MA/CA if generic/therapeutic equivalent available.",https://www.lilly.com/lillydirect/medicines/zepbound,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Zepbound — Program B (commercially insured WITHOUT coverage · Single-Dose Pen),tirzepatide,Obesity,"Obesity or overweight with weight-related medical condition; moderate-to-severe OSA in adults with obesity",Yes — commercial insurance WITHOUT Zepbound coverage,No — government beneficiaries excluded,No,$499/mo,"Flat $499/mo regardless of dose. Up to 13 fills/year. Card expires 12/31/2026.","Commercial insurance WITHOUT Zepbound pen coverage required. Age 18+. US resident or Puerto Rico. Not in AFP.",https://www.lilly.com/lillydirect/medicines/zepbound,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Zepbound — Program C (commercially insured WITHOUT coverage · KwikPen),tirzepatide,Obesity,"Obesity or overweight with weight-related medical condition; moderate-to-severe OSA in adults with obesity",Yes — commercial insurance WITHOUT KwikPen coverage,No — government beneficiaries excluded,No,"$299–$449/mo","$299 (2.5mg) · $399 (5mg) · $449 (7.5–15mg) Journey Program price. Max savings/fill: $215 (2.5mg) · $115 (5mg) · $65 (7.5mg) · $271 (10–15mg). Up to 11 fills/year. Card expires 12/31/2026. Must refill within 45 days for Journey Program price on 7.5–15mg — otherwise $499–$699 regular price applies.","Commercial insurance WITHOUT KwikPen coverage required. Age 18+. US resident or Puerto Rico. Not in AFP. 45-day refill window critical for higher doses.",https://www.lilly.com/lillydirect/medicines/zepbound,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Zepbound — Program D (self-pay cash · all patients incl. government-insured),tirzepatide,Obesity,"Obesity or overweight with weight-related medical condition; moderate-to-severe OSA in adults with obesity",Yes — no insurance required,Yes — government-insured patients explicitly directed to this path,No,"$299–$449/mo (Journey) · $299–$699 regular","Journey Program: $299 (2.5mg) · $399 (5mg) · $449 (7.5–15mg). Regular price if 45-day refill missed: $499 (7.5mg) · $699 (10/12.5/15mg). Journey Program effective Feb 23 2026 — no stated expiry but can be terminated by Lilly at any time.","No insurance required. Valid Rx required. No income requirement. No residency restriction stated. Government-insured patients explicitly directed here by page. New and existing patients eligible. 1-month supply = 28 days + 4 vials or 1 KwikPen. Must refill within 45 days to maintain Journey Program price on doses 7.5mg+.",https://www.lilly.com/lillydirect/medicines/zepbound,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Emgality — Program A (commercially insured WITH coverage · Savings Card),galcanezumab-gnlm,Migraine,"Preventive treatment of migraine in adults (120mg monthly); episodic cluster headache in adults (300mg loading dose)",Yes — commercial insurance WITH Emgality coverage,No — government beneficiaries excluded from savings card,No,As low as $35/mo,"$35/mo for up to 12 months. WAC (list price): $763.94/fill. Max annual savings: $4,900/calendar year. Max saves capped at WAC. Up to 13 fills/year. Card expires 12/31/2026.","Commercial insurance WITH Emgality coverage required. Age 18+. US resident or Puerto Rico ONLY (narrower than Lilly insulin T&C). Not in AFP. Cannot combine with other discounts. 12-month duration cap on savings. Month = 30 days + up to 2 pens or 3 syringes.",https://www.lilly.com/lillydirect/medicines/emgality,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Emgality — Program B (commercially insured WITHOUT coverage · First Fill Free),galcanezumab-gnlm,Migraine,"Preventive treatment of migraine in adults (120mg monthly); episodic cluster headache in adults (300mg loading dose)",Yes — commercial insurance WITHOUT Emgality coverage,No — government beneficiaries excluded,No,$0 for first fill only,"$0 for 1 fill only (trial/introductory). Max 1 fill total via this track. Savings capped at WAC + usual & customary pharmacy charges for one 30-day supply. Card expires 12/31/2026.","Commercial insurance WITHOUT Emgality coverage required. Age 18+. US resident or Puerto Rico only. Not in AFP. 1 fill maximum — no ongoing savings after trial fill.",https://www.lilly.com/lillydirect/medicines/emgality,Mar 2026,Confirmed
LillyDirect,Eli Lilly,Emgality — Program C (self-pay · no savings card),galcanezumab-gnlm,Migraine,"Preventive treatment of migraine in adults (120mg monthly); episodic cluster headache in adults (300mg loading dose)",Yes — no insurance required,De facto accessible via Medicare/Medicaid coverage (not via LillyDirect savings card),No,No flat discount — close to list price,"No flat discounted cash price offered. Self-pay price approaches list price ($763.94/fill). Real-world data (pricinginfo.lilly.com): ~40% commercially insured pay $0; ~70% Medicare pay $0; ~70% Medicaid pay $0. Lilly Cares Foundation (separate nonprofit) provides free drug to qualified low-income patients — not part of LillyDirect.","No formal enrollment or card. Valid Rx required. No fill cap. Government-insured patients not excluded from their own coverage — just no LillyDirect savings card available to them. Lilly Cares Foundation available separately for uninsured/low-income.",https://www.lilly.com/lillydirect/medicines/emgality,Mar 2026,Confirmed
LillyDirect,Eli Lilly,"Humalog (U-100 KwikPen/Cartridge/Vial · U-200 KwikPen · Mix75/25 KwikPen/Vial · Mix50/50 KwikPen · Junior KwikPen)",insulin lispro,Diabetes,Type 1 and Type 2 diabetes mellitus,Yes — two programs: (1) commercially insured savings card; (2) true cash-pay savings card (no insurance required),No — Medicare/Medicaid/VA/TRICARE/government programs excluded from BOTH programs,No,As low as $35/mo,"TWO PROGRAMS both at $35/mo: (1) Insurance savings card — requires commercial drug insurance; up to 16 fills/year; up to $3,000/fill · $16,000/year savings cap. (2) Cash Savings Card — NO insurance required; up to 14 fills/year; capped at WAC + usual & customary pharmacy charges. Both expire 12/31/2026. No list price disclosed on page.","Both programs: valid Rx required · US resident or territory (PR/Guam/USVI/NMI/American Samoa) · Age 18+ · Not in AFP · Cannot combine with other discounts · Not valid for MA residents if AB-rated generic available · Not valid for CA residents if FDA-approved therapeutic equivalent available. Government beneficiaries excluded from both.",https://www.lilly.com/lillydirect/medicines/humalog,Mar 2026,Confirmed
LillyDirect,Eli Lilly,"Humulin — Program A (commercially insured · Insurance Savings Card) [R 100u/mL Vial · N KwikPen/Vial · 70/30 KwikPen/Vial · R U-500 KwikPen/Vial]","insulin human injection (R, 70/30); insulin isophane human injectable suspension (N); insulin human 500u/mL (R U-500)",Diabetes,Type 1 and Type 2 diabetes mellitus (R U-500 for patients requiring >200 units/day),Yes — commercial insurance required,No — government beneficiaries explicitly excluded,No,As low as $35/mo,"$35/mo with commercial insurance. Two sub-tracks: (1) with coverage: max $3,000/fill · up to 16 fills/yr; (2) without coverage: max WAC + usual & customary · up to 14 fills/yr. No dose/formulation price variation. Card expires 12/31/2026.","Commercial insurance required. Age 18+. US resident or territory (PR/Guam/USVI/NMI/American Samoa). Not in AFP. Cannot combine with other discounts. Not valid MA/CA if generic/therapeutic equivalent available. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/humulin,Mar 2026,Confirmed
LillyDirect,Eli Lilly,"Humulin — Program B (self-pay/uninsured · Cash Savings Card) [R 100u/mL Vial · N KwikPen/Vial · 70/30 KwikPen/Vial · R U-500 KwikPen/Vial]","insulin human injection (R, 70/30); insulin isophane human injectable suspension (N); insulin human 500u/mL (R U-500)",Diabetes,Type 1 and Type 2 diabetes mellitus (R U-500 for patients requiring >200 units/day),Yes — no insurance required,No — government beneficiaries explicitly excluded from card,No,As low as $35/mo,"$35/mo — no insurance required. Max savings: WAC + usual & customary pharmacy charges per fill. Up to 14 fills/year. Card expires 12/31/2026. No dose/formulation price variation.","No insurance required. Age 18+. US resident or territory. Not in AFP. Cannot combine with other discounts. Not valid MA/CA if generic/therapeutic equivalent available. Government beneficiaries excluded. Month = 30 days.",https://www.lilly.com/lillydirect/medicines/humulin,Mar 2026,Confirmed
